Age,Gender,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake,Workout_Frequency,Experience_Level,BMI,rep_count,avg_depth_score,avg_form_score,tempo_consistency,stability_score,left_right_asymmetry,fatigue_slope,range_of_motion,knee_valgus_risk,back_angle_risk,movement_quality_score,readiness_score,injury_risk_score,strength_potential_score,endurance_potential_score
37.0,Female,77.5,1.5,175.0,142.0,70.0,1.58,1141.0,Yoga,21.2,1.8,3.0,Beginner,12.32,18,0.485,0.57,0.568,0.4733,0.2134,0.3625,0.4703,0.2594,0.469,0.4695,0.4219,0.317,0.4891,0.4836
30.0,Female,119.6,1.72,191.0,150.0,74.0,1.77,1006.0,Yoga,13.1,2.2,4.0,Advanced,13.32,26,0.7852,0.7621,0.8948,0.7202,0.0586,0.3211,0.6905,0.1231,0.3213,0.7244,0.6494,0.1878,0.7658,0.6204
38.0,Male,40.0,1.5,172.0,169.0,59.0,1.52,1107.0,Hiit,24.9,2.8,3.0,Beginner,36.71,19,0.5101,0.5779,0.4036,0.5347,0.4582,0.542,0.4054,0.5825,0.4835,0.4268,0.4,0.5124,0.4521,0.4506
18.0,Male,82.3,1.74,198.0,155.0,55.0,1.38,1368.0,Strength,26.0,3.3,2.0,Advanced,17.15,26,0.7934,0.9265,0.8742,0.8108,0.1454,0.1885,0.7658,0.1172,0.2001,0.7951,0.804,0.1466,0.7953,0.5402
54.0,Male,71.2,1.7,190.0,120.0,58.0,1.21,708.0,,14.4,3.1,4.0,Intermediate,12.46,13,0.8371,0.7984,0.7656,0.6497,0.2811,0.3176,0.7589,0.2955,0.2648,0.7041,0.6699,0.2823,0.7222,0.5126
34.0,Male,53.0,1.92,199.0,134.0,68.0,1.12,790.0,Strength,19.8,3.5,4.0,Advanced,16.18,29,0.924,0.9538,0.9123,0.8501,0.1023,0.0865,0.8625,0.1068,0.1074,0.8621,0.8353,0.0956,0.8916,0.5799
56.0,Female,45.7,1.96,192.0,153.0,71.0,2.0,868.0,Yoga,11.4,2.0,4.0,Intermediate,21.34,25,0.7561,0.7812,0.6878,0.6438,0.2727,0.5655,0.6638,0.3056,0.4107,0.6447,0.567,0.3564,0.6815,0.5918
18.0,Female,79.6,1.75,168.0,125.0,54.0,1.26,682.0,Hiit,25.1,2.4,3.0,Intermediate,12.32,23,0.6017,0.6003,0.7541,0.7926,0.1781,0.2399,0.6032,0.1556,0.2824,0.6165,0.6166,0.2215,0.6242,0.5004
42.0,Female,105.3,1.67,175.0,143.0,74.0,1.1,1115.0,Strength,25.4,3.3,3.0,Beginner,12.32,9,0.4815,0.5444,0.5692,0.5601,0.2433,0.4781,0.4839,0.2603,0.4339,0.4716,0.4334,0.3452,0.4528,0.3934
31.0,Male,84.5,1.56,194.0,124.0,70.0,1.31,734.0,Strength,23.6,3.3,2.0,Intermediate,21.57,14,0.7257,0.7856,0.7907,0.6203,0.1524,0.2824,0.6592,0.2479,0.2392,0.6749,0.6676,0.2263,0.6608,0.4634
50.0,Male,98.6,1.54,187.0,126.0,57.0,0.72,940.0,Strength,23.5,1.6,3.0,Beginner,12.32,7,0.5646,0.6861,0.615,0.4308,0.2459,0.3483,0.5586,0.2991,0.3636,0.5282,0.4881,0.3068,0.5048,0.3453
27.0,Male,55.4,1.72,186.0,153.0,74.0,2.0,1281.0,\Nstrength,10.9,2.4,4.0,Intermediate,14.56,18,0.8133,0.8582,0.7215,0.6879,0.1582,0.4971,0.7623,0.193,0.367,0.7138,0.6017,0.2661,0.7437,0.6104
41.0,Female,40.0,1.77,168.0,154.0,74.0,1.14,628.0,Hiit,19.9,3.4,5.0,Beginner,24.52,17,0.6047,0.5445,0.6952,0.3954,0.2417,0.4716,0.5309,0.3708,0.446,0.4953,0.475,0.3784,0.5109,0.521
26.0,Female,63.9,1.75,199.0,121.0,72.0,2.0,638.0,Hiit,23.6,3.4,4.0,Intermediate,23.96,19,0.6961,0.8659,0.8361,0.6474,0.2289,0.3209,0.671,0.2067,0.3379,0.6995,0.6782,0.2475,0.7515,0.6487
31.0,Female,40.0,2.0,192.0,134.0,55.0,1.44,1116.0,Strength,12.0,2.6,2.0,Intermediate,21.2,23,0.8764,0.8347,0.8398,0.8277,0.2384,0.3611,0.8472,0.1918,0.2537,0.7785,0.7392,0.2439,0.7437,0.4973
27.0,Male,91.9,1.5,185.0,154.0,60.0,1.08,825.0,Hiit,28.8,3.2,5.0,Intermediate,21.07,17,0.7532,0.8417,0.6528,0.7071,0.2618,0.2357,0.7357,0.2453,0.1739,0.6919,0.7009,0.2281,0.7421,0.5703
21.0,Male,76.8,1.52,191.0,140.0,66.0,1.08,702.0,Cardio,21.0,3.6,3.0,Intermediate,25.59,15,0.8117,0.6036,0.7997,0.6004,0.3223,0.2723,0.6772,0.3328,0.3185,0.6317,0.6412,0.3223,0.6323,0.479
47.0,Female,70.7,1.66,195.0,169.0,60.0,1.25,1033.0,\Tyoga,16.7,3.5,4.0,Intermediate,14.61,21,0.6707,0.6338,0.6236,0.6642,0.2748,0.4659,0.6613,0.2704,0.3281,0.583,0.5713,0.3288,0.5974,0.4997
33.0,Male,40.0,1.88,196.0,162.0,58.0,1.59,1131.0,Yoga,30.4,2.6,3.0,Beginner,21.91,12,0.6562,0.708,0.4702,0.5104,0.4707,0.6782,0.6106,0.4183,0.4928,0.5171,0.4813,0.4819,0.512,0.4483
59.0,Male,40.0,1.56,163.0,167.0,74.0,1.59,722.0,Cardio,23.7,3.2,4.0,Advanced,12.32,22,0.9182,0.7585,0.8705,0.8394,0.1314,0.3024,0.8054,0.1527,0.2538,0.7774,0.7053,0.2014,0.8082,0.6332
43.0,Male,46.8,1.67,178.0,141.0,64.0,1.03,1403.0,Cardio,26.1,3.2,3.0,Beginner,14.13,13,0.4499,0.5339,0.4979,0.6916,0.2128,0.3212,0.4949,0.2139,0.3531,0.4842,0.4902,0.2812,0.4808,0.4127
27.0,Male,100.7,1.75,163.0,166.0,61.0,1.28,1159.0,Cardio,28.1,3.7,3.0,Beginner,12.32,11,0.4684,0.6627,0.4236,0.4434,0.3436,0.3925,0.4887,0.3325,0.4231,0.4537,0.4709,0.3613,0.4741,0.4618
44.0,Female,73.4,1.59,199.0,152.0,72.0,0.94,721.0,Cardio,23.0,2.2,4.0,Beginner,33.25,9,0.3247,0.5644,0.5113,0.3346,0.4875,0.5908,0.356,0.5519,0.4229,0.3592,0.3199,0.5126,0.3688,0.349
22.0,Male,63.4,1.83,196.0,169.0,71.0,1.66,466.0,Cardio,28.0,3.4,2.0,Advanced,24.61,28,0.9458,0.7413,0.8685,0.8674,0.1048,0.2828,0.7831,0.0849,0.3291,0.7827,0.7469,0.1835,0.7798,0.5665
19.0,Female,129.9,1.71,161.0,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4.0,Intermediate,12.32,20,0.7556,0.6455,0.7713,0.6489,0.2919,0.4115,0.6539,0.2608,0.4754,0.6279,0.5914,0.3403,0.6754,0.6636
24.0,Female,48.3,1.73,193.0,136.0,62.0,1.98,1404.0,Strength,22.0,3.5,3.0,Beginner,13.22,19,0.5796,0.7107,0.6865,0.5426,0.3553,0.4845,0.5948,0.3624,0.4838,0.562,0.5344,0.3959,0.5744,0.5581
45.0,Female,80.5,1.89,183.0,134.0,74.0,1.02,1311.0,Hiit,24.6,1.9,4.0,Beginner,12.32,8,0.5113,0.4944,0.6352,0.4921,0.3734,0.6361,0.4898,0.4192,0.4819,0.4482,0.3612,0.4692,0.4279,0.3683
35.0,Female,42.9,1.51,163.0,131.0,74.0,2.0,526.0,Cardio,15.3,3.3,5.0,Beginner,13.74,20,0.5243,0.5094,0.4391,0.6929,0.3002,0.4015,0.5368,0.2341,0.5426,0.4776,0.4488,0.356,0.555,0.6212
18.0,Male,74.6,1.88,177.0,166.0,53.0,2.0,1010.0,Cardio,18.0,2.2,5.0,Beginner,30.5,17,0.4355,0.4751,0.4737,0.5643,0.2591,0.7894,0.4128,0.4376,0.6477,0.4015,0.3576,0.5036,0.4386,0.5674
21.0,Male,66.7,1.93,175.0,166.0,63.0,1.26,949.0,Yoga,27.8,3.4,2.0,Intermediate,13.53,16,0.6495,0.7515,0.8412,0.7435,0.236,0.3407,0.6691,0.2499,0.2734,0.6747,0.6546,0.268,0.6451,0.4874
31.0,Female,55.0,1.6,172.0,164.0,53.0,1.85,1361.0,Strength,20.6,3.4,4.0,Beginner,16.04,20,0.5605,0.6916,0.4962,0.4909,0.2623,0.3745,0.5186,0.342,0.4821,0.5112,0.5359,0.3462,0.5692,0.6154
46.0,Male,65.7,1.75,192.0,135.0,59.0,1.31,881.0,Strength,10.0,2.7,2.0,Beginner,31.78,12,0.6344,0.4957,0.6449,0.5412,0.4458,0.5107,0.5144,0.4914,0.494,0.4886,0.4609,0.4855,0.459,0.3849
53.0,Female,84.7,1.61,193.0,158.0,72.0,2.0,478.0,Yoga,25.6,2.4,3.0,Beginner,18.57,17,0.5061,0.5041,0.4553,0.6376,0.4784,0.718,0.4995,0.4241,0.575,0.4344,0.3744,0.5263,0.4446,0.4796
18.0,,80.4,1.97,172.0,137.0,74.0,1.62,617.0,Strength,22.4,3.4,3.0,Beginner,16.91,11,0.57,0.4404,0.5035,0.6102,0.3428,0.4377,0.4932,0.285,0.4993,0.4545,0.4418,0.3896,0.4723,0.483
18.0,Female,63.4,1.85,191.0,148.0,69.0,0.89,1106.0,Strength,21.4,2.3,5.0,Advanced,15.64,28,0.7746,0.8198,0.8646,0.8061,0.0863,0.2734,0.7832,0.1605,0.1437,0.7603,0.7009,0.164,0.7816,0.5298
48.0,Female,61.8,1.71,172.0,140.0,62.0,1.37,1266.0,Cardio,28.6,3.6,4.0,Beginner,23.64,13,0.602,0.5178,0.4516,0.7085,0.2453,0.4145,0.6059,0.2191,0.4499,0.5115,0.5204,0.3257,0.5302,0.5036
53.0,,64.4,1.58,198.0,158.0,74.0,1.82,1144.0,Yoga,27.2,3.0,2.0,Beginner,18.33,22,0.6332,0.5444,0.5511,0.7087,0.3126,0.651,0.625,0.2948,0.5065,0.5295,0.4538,0.4183,0.4948,0.4442
25.0,Male,44.2,1.9,174.0,159.0,50.0,1.1,1293.0,Yoga,25.7,2.5,4.0,Intermediate,19.26,22,0.6693,0.6676,0.6177,0.7867,0.3121,0.2428,0.6505,0.2082,0.2888,0.6208,0.6505,0.2656,0.6567,0.5336
18.0,Female,43.1,1.75,183.0,138.0,53.0,1.95,437.0,Cardio,19.1,3.6,2.0,Intermediate,18.14,28,0.7392,0.7818,0.7771,0.704,0.1352,0.2613,0.718,0.1406,0.3659,0.6983,0.7167,0.2049,0.7093,0.603
18.0,Male,92.1,1.59,171.0,150.0,54.0,1.17,968.0,Yoga,21.8,2.4,5.0,Intermediate,25.66,13,0.6374,0.7226,0.7284,0.6821,0.2094,0.3691,0.6259,0.2532,0.2724,0.6278,0.6244,0.2707,0.6628,0.5622
31.0,Male,58.7,1.66,183.0,149.0,74.0,1.15,1368.0,Cardio,23.1,2.3,4.0,Beginner,12.32,11,0.5526,0.5683,0.4679,0.609,0.2419,0.3627,0.5741,0.2668,0.3296,0.4997,0.4391,0.3057,0.5181,0.4436
59.0,Female,44.5,1.84,183.0,154.0,71.0,1.28,787.0,Cardio,26.5,1.7,2.0,Intermediate,20.22,21,0.8549,0.7225,0.738,0.6996,0.2661,0.3479,0.751,0.2303,0.2651,0.6888,0.6159,0.2727,0.6665,0.4487
44.0,Female,84.8,2.0,196.0,155.0,70.0,1.66,1439.0,Hiit,12.1,1.7,2.0,Beginner,14.34,11,0.4376,0.6676,0.5876,0.643,0.2299,0.455,0.4893,0.2911,0.3914,0.5181,0.4523,0.3278,0.505,0.4444
57.0,Female,80.0,1.79,167.0,127.0,54.0,1.01,312.0,Yoga,24.3,2.6,4.0,Intermediate,13.16,15,0.7452,0.6426,0.5943,0.7599,0.2773,0.3111,0.6886,0.1936,0.3047,0.6232,0.6088,0.2711,0.6453,0.4707
20.0,Male,87.1,1.91,186.0,150.0,51.0,1.39,1431.0,Yoga,27.0,2.8,3.0,Advanced,21.51,29,0.9983,0.9064,0.9498,0.8577,0.1485,0.1812,0.8573,0.137,0.172,0.8637,0.8599,0.1496,0.8743,0.6049
27.0,Male,56.4,1.76,198.0,129.0,71.0,1.79,488.0,Hiit,22.9,3.3,4.0,Beginner,17.49,18,0.4627,0.4418,0.6947,0.7087,0.2066,0.6249,0.4925,0.2171,0.5762,0.4843,0.4457,0.384,0.481,0.5211
32.0,Male,58.4,2.0,179.0,139.0,60.0,1.21,1379.0,Strength,23.3,3.2,4.0,Intermediate,22.61,18,0.8368,0.7719,0.7485,0.7889,0.2507,0.2658,0.7785,0.2055,0.2394,0.7253,0.7198,0.2362,0.7444,0.5538
42.0,Female,68.5,1.75,187.0,167.0,54.0,1.3,708.0,Cardio,15.4,1.6,4.0,Beginner,33.91,14,0.5088,0.7083,0.6949,0.6066,0.3615,0.6406,0.4934,0.4676,0.4201,0.5398,0.4636,0.451,0.5283,0.4619
55.0,Female,67.1,1.58,199.0,122.0,71.0,1.86,960.0,Strength,21.7,1.5,4.0,Intermediate,28.07,28,0.7296,0.848,0.6725,0.7452,0.3314,0.4465,0.689,0.3396,0.3141,0.679,0.5835,0.3363,0.7242,0.556
31.0,Female,55.7,1.8,168.0,167.0,64.0,1.53,600.0,Hiit,34.4,2.8,4.0,Advanced,25.27,28,0.9494,0.9264,0.8411,0.8686,0.1452,0.2065,0.8571,0.1095,0.1709,0.8408,0.7999,0.1434,0.8824,0.6571
39.0,Female,63.2,1.74,181.0,157.0,54.0,1.62,900.0,Strength,13.9,2.1,5.0,Beginner,15.32,21,0.7162,0.5689,0.6369,0.6533,0.4288,0.4111,0.6312,0.3221,0.456,0.5642,0.5322,0.3976,0.611,0.6038
40.0,Female,64.6,1.55,198.0,133.0,74.0,1.39,303.0,Strength,21.4,1.5,2.0,Intermediate,16.91,24,0.7988,0.717,0.8556,0.6586,0.3022,0.3121,0.7343,0.3039,0.3287,0.6875,0.6044,0.3067,0.6677,0.4558
26.0,Female,56.7,1.73,168.0,144.0,71.0,0.68,1129.0,Strength,25.5,3.4,3.0,Beginner,19.65,10,0.4622,0.5261,0.402,0.5615,0.2169,0.4385,0.4737,0.2806,0.3873,0.4351,0.4406,0.3316,0.4142,0.328
48.0,Male,56.0,1.7,164.0,132.0,50.0,2.0,1148.0,Hiit,26.6,3.1,2.0,Intermediate,19.44,20,0.8039,0.7017,0.6087,0.6941,0.2087,0.4436,0.7269,0.251,0.4399,0.6443,0.6409,0.312,0.6517,0.5566
54.0,Female,74.9,1.69,195.0,153.0,62.0,1.1,1389.0,Yoga,14.4,3.1,3.0,Beginner,18.71,13,0.631,0.5533,0.4372,0.6106,0.4085,0.348,0.5392,0.3492,0.3525,0.4925,0.5068,0.374,0.5054,0.4185
18.0,Female,43.0,1.95,163.0,164.0,68.0,2.0,1349.0,Strength,18.5,3.2,2.0,Intermediate,12.32,19,0.7053,0.6524,0.7666,0.7955,0.1391,0.4049,0.7062,0.1431,0.446,0.6611,0.605,0.2603,0.6536,0.5859
59.0,Male,70.2,1.77,172.0,124.0,68.0,1.47,1069.0,Cardio,21.4,3.5,4.0,Beginner,40.19,13,0.6065,0.6605,0.3634,0.2491,0.5692,0.7796,0.3898,0.7554,0.5132,0.3901,0.3223,0.6358,0.4242,0.3852
23.0,Male,96.5,1.8,187.0,155.0,68.0,0.92,1465.0,Yoga,29.3,3.2,3.0,Beginner,12.32,7,0.4656,0.6762,0.5709,0.6426,0.3401,0.5067,0.5734,0.3131,0.3081,0.524,0.4796,0.3589,0.4903,0.3682
30.0,Male,56.6,2.0,184.0,125.0,52.0,1.29,918.0,Cardio,28.9,3.3,2.0,Beginner,23.89,19,0.653,0.5166,0.6231,0.4186,0.3671,0.2381,0.5617,0.325,0.4421,0.4962,0.5575,0.3515,0.4958,0.4541
38.0,Female,40.0,1.88,164.0,154.0,70.0,1.63,1109.0,Yoga,20.7,1.7,2.0,Intermediate,12.64,23,0.854,0.695,0.7015,0.7737,0.3204,0.381,0.7524,0.2672,0.3202,0.6829,0.584,0.315,0.6758,0.4987
48.0,Female,81.9,1.8,180.0,165.0,67.0,1.25,1410.0,Cardio,24.0,3.5,4.0,Intermediate,18.28,13,0.7636,0.6571,0.8174,0.5876,0.2413,0.3291,0.6232,0.2458,0.3304,0.6335,0.632,0.2837,0.6551,0.5599
47.0,Male,121.4,1.61,164.0,155.0,74.0,0.94,934.0,Strength,24.7,2.5,2.0,Beginner,30.03,13,0.6919,0.7287,0.4676,0.4343,0.3316,0.3676,0.5982,0.4162,0.3194,0.5382,0.4771,0.3563,0.5187,0.3545
21.0,Female,70.5,1.84,173.0,127.0,66.0,0.97,1013.0,Cardio,26.7,1.6,5.0,Advanced,25.59,31,0.9881,0.9704,0.8412,0.8538,0.0628,0.1052,0.919,0.0924,0.0382,0.8757,0.8009,0.0731,0.9164,0.5772
23.0,Female,70.5,1.65,192.0,162.0,50.0,0.63,1186.0,Cardio,27.1,2.6,2.0,Intermediate,20.02,17,0.6078,0.884,0.831,0.8568,0.1844,0.3222,0.7282,0.1794,0.186,0.7331,0.7304,0.2039,0.6693,0.3887
46.0,Male,54.8,1.69,194.0,148.0,74.0,0.52,846.0,Yoga,16.5,3.5,3.0,Advanced,22.85,25,0.7972,0.9378,0.8845,0.904,0.1214,0.2474,0.8598,0.1175,0.1144,0.8275,0.791,0.1385,0.7889,0.4166
42.0,Male,72.0,1.9,184.0,147.0,67.0,1.48,1047.0,Yoga,15.6,3.4,3.0,Beginner,24.6,13,0.4682,0.4953,0.6243,0.5082,0.3804,0.4832,0.4891,0.3663,0.4641,0.4479,0.4604,0.4217,0.447,0.4747
29.0,Male,56.3,1.81,189.0,166.0,65.0,1.39,1066.0,Strength,14.3,2.9,3.0,Beginner,22.34,15,0.5086,0.5075,0.6966,0.7114,0.4469,0.4133,0.5598,0.3242,0.4259,0.517,0.5236,0.4048,0.5082,0.4986
47.0,Female,51.4,1.88,176.0,125.0,58.0,0.88,1133.0,Yoga,24.0,3.3,3.0,Advanced,14.3,16,0.9571,0.952,0.862,0.9285,0.1367,0.2114,0.9049,0.1154,0.1027,0.8701,0.8294,0.1313,0.8543,0.48
43.0,Male,42.6,1.62,189.0,169.0,74.0,1.0,1213.0,Strength,13.6,3.5,2.0,Beginner,21.81,13,0.5516,0.5742,0.662,0.3798,0.4803,0.515,0.5069,0.4176,0.4064,0.4649,0.465,0.4519,0.4246,0.3664
18.0,Male,73.0,1.78,161.0,131.0,50.0,2.0,1319.0,Strength,26.1,1.5,5.0,Beginner,12.32,23,0.6665,0.6911,0.4551,0.4583,0.2869,0.7126,0.5661,0.3629,0.5344,0.5063,0.4225,0.4342,0.5535,0.5662
50.0,Male,87.9,1.68,192.0,151.0,71.0,2.0,494.0,Strength,15.5,3.1,3.0,Advanced,31.28,33,0.8915,0.9564,0.7456,0.7548,0.147,0.2946,0.7772,0.2682,0.3227,0.7859,0.7202,0.2289,0.8351,0.6226
35.0,Male,53.0,1.67,183.0,128.0,72.0,1.29,682.0,Yoga,21.9,2.2,3.0,Intermediate,16.71,15,0.826,0.6488,0.6426,0.7677,0.2354,0.1904,0.6927,0.1987,0.2415,0.6602,0.6168,0.2279,0.6854,0.4873
43.0,Female,46.3,1.61,190.0,136.0,69.0,2.0,1185.0,Yoga,21.4,3.5,4.0,Beginner,14.14,16,0.576,0.7151,0.5938,0.43,0.447,0.4265,0.5554,0.4249,0.454,0.5182,0.5003,0.4211,0.5763,0.594
50.0,Male,82.8,1.9,161.0,130.0,74.0,1.51,1151.0,,16.8,3.3,4.0,Advanced,28.59,28,0.7271,0.9755,0.909,0.6819,0.1291,0.2771,0.7451,0.2254,0.2146,0.7727,0.7297,0.19,0.8086,0.6085
53.0,Female,82.9,1.6,170.0,148.0,55.0,1.93,541.0,Hiit,17.8,2.5,3.0,Intermediate,12.33,21,0.6331,0.717,0.7337,0.7735,0.2129,0.4792,0.683,0.225,0.4448,0.6439,0.5972,0.3116,0.6527,0.5805
18.0,Female,71.9,1.54,177.0,120.0,73.0,1.17,817.0,Strength,16.8,2.6,3.0,Beginner,29.64,8,0.4018,0.5388,0.4182,0.6689,0.2499,0.4038,0.4826,0.334,0.366,0.4496,0.4191,0.3445,0.4514,0.3779
27.0,Male,41.0,1.82,171.0,138.0,53.0,1.47,1273.0,Cardio,29.1,2.4,4.0,Beginner,12.35,13,0.4747,0.459,0.4807,0.5326,0.2045,0.4398,0.4398,0.2784,0.4923,0.4244,0.4252,0.3505,0.4551,0.4957
18.0,Female,81.9,1.79,178.0,160.0,60.0,1.24,1172.0,,28.5,1.7,3.0,Advanced,12.32,26,0.7948,0.8913,0.9341,0.8947,0.1825,0.2152,0.8127,0.1206,0.1564,0.8135,0.7484,0.1592,0.8142,0.5479
18.0,Male,67.7,1.69,192.0,123.0,57.0,1.44,1445.0,Cardio,26.8,3.1,3.0,Intermediate,21.16,15,0.6335,0.6648,0.752,0.7455,0.2562,0.3006,0.5937,0.1836,0.3361,0.6233,0.655,0.2632,0.6396,0.521
22.0,Female,99.5,1.79,186.0,122.0,56.0,1.45,1783.0,Cardio,27.6,3.5,2.0,Intermediate,23.56,22,0.6346,0.8119,0.7652,0.7161,0.1131,0.2589,0.6527,0.1274,0.2483,0.6795,0.7076,0.1743,0.6719,0.5039
31.0,Female,47.4,1.73,178.0,150.0,57.0,1.64,962.0,Cardio,28.8,2.0,4.0,Advanced,20.91,30,0.7209,0.7823,0.8808,0.8285,0.149,0.2798,0.7386,0.1798,0.3111,0.7366,0.7243,0.2156,0.7746,0.638
18.0,Male,71.1,1.84,189.0,127.0,74.0,0.85,1303.0,Strength,15.2,2.8,2.0,Advanced,30.36,16,0.7775,0.7896,0.8167,0.8604,0.2064,0.2096,0.7283,0.2414,0.1689,0.743,0.6979,0.2123,0.7231,0.3951
22.0,Male,89.8,1.79,179.0,163.0,59.0,2.0,1098.0,Strength,28.2,1.7,3.0,Beginner,12.32,21,0.5812,0.461,0.6629,0.7108,0.3071,0.7653,0.5694,0.3071,0.6059,0.5042,0.4044,0.4667,0.4768,0.509
28.0,Female,81.7,1.81,177.0,130.0,50.0,1.45,507.0,Cardio,23.2,1.7,3.0,Beginner,34.26,15,0.6296,0.4384,0.474,0.6076,0.4517,0.4367,0.4588,0.4901,0.4538,0.4495,0.4286,0.4715,0.4718,0.4373
40.0,Male,40.4,1.68,171.0,130.0,54.0,2.0,527.0,Strength,27.3,3.3,4.0,Advanced,20.47,35,0.9151,0.9171,0.9694,0.8521,0.0592,0.2687,0.8592,0.1199,0.2514,0.8538,0.8407,0.1505,0.8941,0.7238
56.0,Male,40.0,1.63,181.0,133.0,50.0,0.89,1674.0,Yoga,23.4,1.5,3.0,Intermediate,20.75,17,0.9121,0.6152,0.7148,0.878,0.1242,0.111,0.7341,0.1315,0.2358,0.7165,0.71,0.1666,0.7172,0.4732
41.0,Male,40.2,1.76,198.0,135.0,56.0,1.93,964.0,Strength,18.8,3.4,4.0,Beginner,19.02,14,0.4175,0.551,0.5381,0.6306,0.2648,0.5551,0.4614,0.271,0.527,0.4599,0.4796,0.3825,0.4925,0.5583
47.0,Male,49.9,1.74,190.0,120.0,65.0,1.97,406.0,Hiit,29.4,1.5,5.0,Intermediate,16.01,22,0.6388,0.6647,0.6012,0.8558,0.2379,0.2846,0.6824,0.1847,0.3533,0.6295,0.5799,0.2583,0.7129,0.6412
42.0,Male,41.9,1.84,168.0,154.0,71.0,1.49,1029.0,,30.6,2.6,4.0,Intermediate,22.97,26,0.6574,0.7262,0.6936,0.6089,0.1969,0.4364,0.6432,0.257,0.3972,0.6128,0.5764,0.3006,0.637,0.553
26.0,Male,40.0,1.72,164.0,169.0,58.0,0.89,1198.0,Hiit,17.0,1.6,5.0,Intermediate,20.71,13,0.7144,0.6775,0.6825,0.6555,0.276,0.4403,0.6233,0.2958,0.3239,0.6097,0.5781,0.3266,0.6317,0.5028
18.0,Male,47.3,1.75,196.0,169.0,56.0,1.32,706.0,Cardio,29.0,1.9,2.0,Intermediate,30.5,18,0.7701,0.7331,0.8043,0.6753,0.1753,0.322,0.6809,0.295,0.3233,0.6807,0.6339,0.2719,0.659,0.4768
19.0,Female,76.6,1.84,188.0,138.0,71.0,1.72,699.0,Hiit,28.3,3.5,4.0,Beginner,19.76,22,0.4011,0.5823,0.5203,0.4955,0.2962,0.3947,0.4797,0.3478,0.4607,0.4462,0.4657,0.3682,0.4928,0.5479
32.0,Female,69.5,1.65,192.0,140.0,52.0,1.71,1163.0,Cardio,29.8,3.5,4.0,Beginner,15.8,21,0.4889,0.4311,0.5116,0.6067,0.2336,0.3952,0.4862,0.2571,0.5499,0.4443,0.4859,0.3539,0.4842,0.5559
46.0,Female,68.6,1.63,177.0,150.0,58.0,2.0,1074.0,Strength,25.8,3.6,3.0,Advanced,19.42,27,0.8701,0.9165,0.7871,0.9024,0.063,0.3798,0.8514,0.1214,0.2719,0.8142,0.7857,0.1773,0.8344,0.6471
46.0,Male,73.0,2.0,184.0,123.0,64.0,0.9,1159.0,Cardio,10.0,3.4,5.0,Advanced,14.91,19,0.7457,0.7669,0.9458,0.9174,0.1128,0.1737,0.7814,0.1038,0.1132,0.7776,0.7679,0.1344,0.8021,0.5626
52.0,Female,40.8,1.71,181.0,169.0,73.0,1.44,303.0,Yoga,28.3,1.6,3.0,Beginner,18.31,15,0.5289,0.6489,0.4933,0.583,0.3177,0.4401,0.5828,0.347,0.4173,0.5101,0.4445,0.3692,0.5147,0.4592
19.0,Male,42.1,1.6,194.0,148.0,73.0,1.27,1305.0,Cardio,12.7,3.3,2.0,Intermediate,16.65,17,0.7813,0.829,0.7729,0.7104,0.273,0.4407,0.7471,0.2921,0.2458,0.7066,0.6421,0.298,0.6708,0.4327
34.0,Male,40.0,1.82,176.0,141.0,66.0,1.34,1709.0,Cardio,24.1,3.0,4.0,Beginner,15.3,16,0.4681,0.6814,0.6301,0.523,0.2699,0.4239,0.4947,0.2977,0.4138,0.5139,0.4977,0.3355,0.5314,0.5
18.0,Female,67.1,1.71,174.0,165.0,74.0,1.84,577.0,\Nstrength,27.1,2.7,4.0,Advanced,24.9,28,0.9888,0.7865,0.8857,0.7459,0.075,0.2443,0.7969,0.1458,0.3165,0.7906,0.7321,0.1802,0.8409,0.6865
53.0,Male,67.2,1.68,190.0,138.0,55.0,1.67,924.0,,22.6,1.5,3.0,Beginner,13.91,19,0.6185,0.7148,0.6822,0.6181,0.3103,0.45,0.577,0.2991,0.4219,0.586,0.5266,0.3491,0.5878,0.5052
29.0,Male,72.1,2.0,166.0,124.0,67.0,2.0,1582.0,Strength,32.7,3.4,3.0,Intermediate,21.75,29,0.8675,0.6484,0.7661,0.5919,0.0945,0.3825,0.7217,0.2053,0.4966,0.6613,0.6394,0.2714,0.681,0.6114
49.0,Female,62.0,1.87,195.0,125.0,74.0,1.04,842.0,Hiit,20.0,3.5,3.0,Beginner,22.02,12,0.5732,0.6767,0.3763,0.6765,0.2076,0.4288,0.6201,0.2184,0.2714,0.5341,0.5112,0.2762,0.5224,0.3668
52.0,Male,71.3,1.84,197.0,126.0,73.0,1.22,765.0,Cardio,29.2,1.8,2.0,Beginner,12.32,18,0.4168,0.5821,0.5231,0.6846,0.3324,0.3915,0.5147,0.2911,0.3454,0.486,0.4263,0.3423,0.4649,0.349
28.0,,85.6,1.54,168.0,128.0,59.0,1.45,860.0,Yoga,14.9,2.4,4.0,Beginner,12.32,19,0.5766,0.5232,0.5784,0.6005,0.355,0.3832,0.5027,0.3406,0.4141,0.4939,0.476,0.3774,0.5263,0.5094
